time,x,y,z
11115762,-0.8835,-0.2945,9.6774
11115832,-0.8763,-0.3160,9.6822
11115902,-0.8643,-0.3184,9.6702
11115972,-0.8715,-0.3256,9.6558
11116042,-0.8164,-0.3352,9.6606
11116112,-0.8212,-0.3328,9.6558
11116182,-0.7973,-0.3304,9.6917
11116252,-0.7661,-0.3256,9.6989
11116322,-0.7877,-0.3184,9.7037
11116392,-0.7733,-0.3184,9.7348
11116462,-0.7733,-0.3160,9.6917
11116532,-0.8045,-0.3089,9.6845
11116602,-0.7925,-0.2969,9.6917
11116672,-0.7901,-0.2753,9.6726
11116742,-0.8092,-0.2682,9.6798
11116812,-0.7949,-0.2777,9.6869
11116882,-0.7925,-0.2921,9.6774
11116953,-0.8021,-0.3065,9.7085
11117022,-0.7901,-0.3208,9.6462
11117092,-0.8140,-0.3256,9.6462
11117162,-0.7901,-0.3065,9.6462
11117232,-0.7949,-0.3017,9.5912
11117302,-0.8045,-0.2969,9.6031
11117372,-0.7997,-0.2969,9.6079
11117442,-0.7997,-0.2945,9.6079
11117512,-0.8236,-0.2921,9.6367
11117582,-0.8021,-0.2777,9.7061
11117652,-0.7997,-0.2658,9.6845
11117722,-0.8212,-0.2753,9.6654
11117792,-0.7877,-0.2753,9.7061
11117862,-0.7709,-0.2682,9.6965
11117935,-0.8045,-0.2705,9.7252
11118002,-0.7901,-0.2634,9.7229
11118072,-0.7877,-0.2610,9.6965
11118142,-0.8116,-0.2682,9.7205
11118212,-0.7829,-0.2610,9.7109
11118282,-0.7877,-0.2562,9.7109
11118352,-0.7901,-0.2634,9.6869
11118422,-0.7877,-0.2586,9.6798
11118492,-0.7877,-0.2729,9.6582
11118562,-0.7973,-0.2897,9.6965
11118632,-0.8308,-0.3017,9.7061
11118702,-0.8571,-0.3017,9.6726
11118772,-0.8428,-0.2921,9.6869
11118842,-0.8619,-0.2969,9.6606
11118912,-0.8475,-0.2825,9.6702
11118982,-0.8667,-0.3041,9.6989
11119052,-0.8763,-0.2921,9.7061
11119122,-0.8715,-0.2801,9.6917
11119192,-0.8715,-0.2825,9.6989
11119262,-0.8571,-0.2610,9.6630
11119332,-0.8691,-0.2849,9.6391
11119401,-0.8787,-0.2825,9.7300
11119471,-0.8428,-0.2729,9.7061
11119542,-0.8835,-0.3065,9.7612
11119612,-0.8859,-0.3041,9.7803
11119682,-0.8882,-0.3208,9.7109
11119751,-0.9194,-0.3376,9.7396
11119822,-0.8978,-0.3184,9.7229
11119892,-0.8859,-0.3184,9.7181
11119962,-0.8835,-0.3136,9.6989
11120032,-0.9026,-0.3136,9.6774
11120102,-0.9098,-0.3256,9.6798
11120172,-0.9266,-0.3184,9.6247
11120242,-0.9146,-0.3256,9.6079
11120312,-0.9290,-0.3400,9.6367
11120382,-0.9146,-0.3256,9.6175
11120452,-0.9074,-0.3472,9.6534
11120522,-0.9266,-0.3352,9.6127
11120592,-0.9242,-0.3376,9.6247
11120662,-0.8978,-0.3304,9.6319
11120732,-0.8835,-0.3184,9.6223
11120802,-0.8739,-0.3304,9.6965
11120872,-0.8356,-0.3136,9.6534
11120942,-0.8547,-0.3304,9.6822
11121012,-0.8643,-0.3256,9.7252
11121082,-0.8859,-0.3160,9.6438
11121152,-0.8835,-0.3136,9.6582
11121222,-0.8763,-0.3136,9.6103
11121292,-0.8715,-0.3232,9.5433
11121362,-0.8595,-0.3448,9.6486
11121432,-0.8643,-0.3400,9.6415
11121502,-0.8475,-0.3448,9.6391
11121573,-0.8428,-0.3328,9.6989
11121642,-0.8356,-0.3089,9.6917
11121712,-0.8547,-0.3136,9.7252
11121782,-0.8667,-0.3184,9.6534
11121852,-0.8739,-0.3304,9.6822
11121922,-0.8667,-0.3376,9.6582
11121992,-0.8547,-0.3304,9.6151
11122062,-0.8691,-0.3112,9.7157
11122132,-0.8835,-0.2921,9.6534
11122202,-0.8595,-0.2897,9.6654
11122272,-0.8475,-0.2873,9.6558
11122342,-0.8308,-0.2825,9.6798
11122412,-0.8045,-0.2777,9.6271
11122482,-0.8260,-0.2777,9.6415
11122552,-0.8260,-0.2634,9.6654
11122622,-0.8308,-0.2729,9.5984
11122692,-0.8499,-0.2849,9.6055
11122762,-0.8739,-0.2705,9.6343
11122832,-0.8835,-0.2753,9.6367
11122902,-0.8691,-0.2753,9.6750
11122972,-0.8667,-0.2945,9.7468
11123042,-0.8428,-0.2825,9.7181
11123112,-0.8499,-0.2897,9.6893
11123182,-0.8763,-0.2682,9.6534
11123252,-0.8356,-0.2346,9.6486
11123322,-0.8188,-0.2466,9.6199
11123392,-0.8116,-0.2394,9.7252
11123463,-0.7829,-0.2466,9.7683
11123532,-0.7901,-0.2490,9.7827
11123602,-0.7685,-0.2514,9.7779
11123672,-0.7518,-0.2562,9.6965
11123742,-0.7350,-0.2586,9.7133
11123812,-0.7230,-0.2682,9.7109
11123882,-0.7470,-0.2610,9.6774
11123952,-0.7685,-0.2538,9.6774
11124022,-0.7781,-0.2538,9.6606
11124092,-0.7901,-0.2370,9.6534
11124162,-0.7973,-0.2274,9.7085
11124232,-0.7949,-0.2466,9.6965
11124302,-0.8092,-0.2298,9.6750
11124372,-0.8356,-0.2394,9.6798
11124442,-0.8308,-0.2442,9.6702
11124512,-0.8140,-0.2155,9.6654
11124582,-0.8116,-0.2322,9.6774
11124651,-0.8068,-0.2442,9.6558
11124722,-0.8068,-0.2418,9.6247
11124792,-0.7973,-0.2562,9.6917
11124862,-0.7925,-0.2490,9.7013
11124932,-0.8116,-0.2490,9.7348
