time,x,y,z
16321825,-1.3671,-0.0048,9.6367
16321895,-1.3910,0.0120,9.6055
16321964,-1.3982,0.0000,9.6055
16322034,-1.3791,-0.0120,9.6343
16322105,-1.3695,-0.0359,9.6415
16322175,-1.3479,-0.0287,9.6319
16322244,-1.3264,0.0024,9.6295
16322315,-1.3264,0.0096,9.6175
16322385,-1.3264,0.0407,9.6055
16322454,-1.2881,0.0599,9.5241
16322524,-1.2689,0.0335,9.5624
16322595,-1.2330,0.0407,9.5505
16322665,-1.2234,0.0455,9.5816
16322734,-1.2426,0.0479,9.6127
16322804,-1.2689,0.0766,9.5888
16322875,-1.3168,0.0694,9.5864
16322945,-1.3264,0.0479,9.5720
16323014,-1.3360,0.0455,9.6127
16323085,-1.3360,0.0407,9.5792
16323155,-1.3431,0.0215,9.5792
16323224,-1.3599,0.0096,9.5696
16323295,-1.3719,-0.0168,9.5984
16323365,-1.4078,-0.0096,9.6103
16323435,-1.4054,0.0000,9.6343
16323505,-1.3982,0.0072,9.6295
16323575,-1.4078,-0.0287,9.6223
16323645,-1.3695,-0.0335,9.6558
16323715,-1.3934,-0.0335,9.6438
16323784,-1.4150,-0.0287,9.6726
16323855,-1.4006,0.0048,9.6510
16323925,-1.4126,-0.0048,9.6367
16323994,-1.3695,0.0263,9.6175
16324065,-1.3288,0.0335,9.6079
16324135,-1.2905,0.0551,9.6247
16324205,-1.2522,0.0742,9.6391
16324274,-1.1899,0.0622,9.6175
16324344,-1.1708,0.0503,9.6391
16324415,-1.1444,0.0287,9.6295
16324485,-1.1372,0.0072,9.6079
16324554,-1.1899,0.0024,9.6415
16324625,-1.1803,-0.0024,9.6127
16324695,-1.2163,-0.0120,9.5984
16324764,-1.2354,-0.0144,9.5864
16324834,-1.2522,-0.0192,9.5888
16324905,-1.2857,-0.0096,9.5912
16324975,-1.3072,0.0000,9.6103
16325044,-1.3072,0.0168,9.6247
16325115,-1.3024,0.0144,9.5888
16325185,-1.3360,-0.0072,9.6007
16325254,-1.3192,0.0120,9.5768
16325325,-1.3503,0.0024,9.5912
16325395,-1.3815,0.0024,9.5936
16325465,-1.3862,0.0024,9.5864
16325534,-1.4006,-0.0192,9.6271
16325605,-1.4078,-0.0263,9.6223
16325675,-1.4102,-0.0503,9.6630
16325745,-1.3982,-0.0359,9.6726
16325814,-1.4174,-0.0503,9.6582
16325885,-1.4174,-0.0838,9.6534
16325955,-1.4006,-0.1006,9.6510
16326024,-1.4030,-0.1245,9.6391
16326095,-1.4006,-0.1221,9.6199
16326165,-1.3958,-0.1125,9.6199
16326235,-1.4341,-0.0982,9.5984
16326304,-1.4389,-0.0934,9.6079
16326375,-1.4389,-0.0862,9.6223
16326445,-1.4413,-0.0646,9.5960
16326514,-1.4269,-0.0599,9.6151
16326584,-1.4293,-0.0479,9.6127
16326654,-1.4222,-0.0551,9.6103
16326725,-1.4317,-0.0670,9.6247
16326794,-1.4222,-0.0670,9.6223
16326865,-1.4126,-0.0766,9.6462
16326935,-1.4126,-0.0742,9.6582
16327005,-1.4126,-0.0527,9.6798
16327074,-1.4102,-0.0479,9.6774
16327145,-1.4293,-0.0359,9.6415
16327215,-1.4581,-0.0407,9.6103
16327285,-1.4509,-0.0359,9.5936
16327354,-1.4557,-0.0383,9.5768
16327425,-1.4413,-0.0479,9.5768
16327495,-1.4389,-0.0431,9.5792
16327564,-1.4533,-0.0479,9.5648
16327635,-1.4533,-0.0335,9.5696
16327705,-1.4581,-0.0192,9.5481
16327775,-1.4485,0.0096,9.5864
16327844,-1.4174,0.0383,9.5840
16327915,-1.4174,0.0599,9.6103
16327985,-1.3838,0.0814,9.6367
16328055,-1.3408,0.0934,9.6007
16328125,-1.3479,0.1389,9.6079
16328194,-1.3264,0.1556,9.5888
16328265,-1.3264,0.1676,9.5720
16328334,-1.3384,0.1772,9.5912
16328405,-1.3336,0.1484,9.5864
16328475,-1.3384,0.1580,9.5888
16328544,-1.3240,0.1437,9.5864
16328614,-1.3240,0.1125,9.5720
16328685,-1.2833,0.1006,9.5864
16328755,-1.2522,0.1030,9.6103
16328825,-1.2258,0.1269,9.6319
16328895,-1.1756,0.1365,9.6295
16328965,-1.1660,0.1173,9.6079
16329035,-1.1564,0.0766,9.6151
16329104,-1.1875,0.0622,9.6079
16329175,-1.2378,0.0575,9.5888
16329245,-1.2905,0.0622,9.6151
16329314,-1.3120,0.0599,9.5768
16329385,-1.3192,0.0503,9.5912
16329455,-1.3120,0.0479,9.6319
16329525,-1.3192,0.0359,9.6391
16329594,-1.3384,0.0239,9.5984
16329665,-1.3743,-0.0192,9.5840
16329735,-1.3934,-0.0168,9.5433
16329804,-1.4030,-0.0120,9.5289
16329874,-1.4174,-0.0000,9.6055
16329945,-1.4174,0.0096,9.6055
16330014,-1.4317,0.0144,9.6415
16330084,-1.4461,-0.0072,9.6295
16330155,-1.4581,-0.0144,9.6055
16330225,-1.4724,-0.0072,9.6055
16330295,-1.4844,-0.0168,9.6103
16330364,-1.4916,-0.0048,9.6295
16330435,-1.4796,-0.0048,9.6582
16330505,-1.4557,0.0048,9.6079
16330575,-1.4461,-0.0215,9.5768
16330644,-1.4006,-0.0168,9.5577
16330715,-1.4030,-0.0192,9.5217
16330785,-1.4006,-0.0359,9.5960
16330854,-1.3910,-0.0335,9.6199
16330925,-1.3958,-0.0311,9.6319
16330995,-1.3767,-0.0239,9.6055
16331065,-1.3575,-0.0287,9.6055
16331134,-1.3479,-0.0120,9.5888
16331205,-1.3336,-0.0383,9.5696
16331275,-1.3312,-0.0503,9.5577
16331344,-1.3431,-0.0479,9.5409
16331414,-1.3360,-0.0407,9.5577
16331485,-1.3216,-0.0120,9.5313
16331555,-1.2977,-0.0096,9.5840
16331624,-1.2330,0.0096,9.5816
16331695,-1.1851,0.0048,9.6151
16331765,-1.1779,-0.0192,9.6295
16331835,-1.1516,-0.0144,9.6343
16331904,-1.1492,-0.0192,9.6630
16331975,-1.1564,-0.0215,9.6199
16332044,-1.1492,-0.0311,9.6630
16332115,-1.1229,-0.0383,9.6726
16332184,-1.1061,-0.0479,9.6630
16332255,-1.0965,-0.0503,9.6558
16332325,-1.1013,-0.0575,9.6103
16332394,-1.2115,-0.0886,9.5912
16332465,-1.3264,-0.1221,9.5409
16332534,-1.4988,-0.1867,9.5385
16332605,-1.6352,-0.2322,9.5672
16332674,-1.6879,-0.2610,9.5696
16332745,-1.7238,-0.2801,9.6343
16332815,-1.6951,-0.2897,9.6151
16332885,-1.6951,-0.2969,9.6367
16332954,-1.6903,-0.2753,9.6247
16333024,-1.6855,-0.2801,9.6007
16333095,-1.6520,-0.2682,9.6223
16333164,-1.5945,-0.2251,9.6007
16333235,-1.5395,-0.2131,9.5600
16333305,-1.5107,-0.2083,9.6151
16333375,-1.4748,-0.2083,9.6391
16333444,-1.4700,-0.2251,9.6367
16333515,-1.4748,-0.2251,9.6774
16333585,-1.4724,-0.2011,9.6247
16333654,-1.4724,-0.1796,9.6223
16333725,-1.4653,-0.1700,9.6462
16333795,-1.4629,-0.1724,9.6438
16333864,-1.4724,-0.1652,9.6606
16333935,-1.4892,-0.1628,9.6558
16334005,-1.4868,-0.1652,9.6319
16334075,-1.4916,-0.1772,9.6391
16334145,-1.4964,-0.1772,9.6678
16334215,-1.4796,-0.1508,9.6558
16334285,-1.4988,-0.1293,9.6893
16334355,-1.4724,-0.1125,9.7133
16334425,-1.4557,-0.1006,9.6391
16334495,-1.4629,-0.0886,9.6175
16334564,-1.4341,-0.0814,9.6103
16334634,-1.4437,-0.0622,9.5888
16334705,-1.4269,-0.0503,9.5912
16334775,-1.4246,-0.0599,9.6199
16334844,-1.4389,-0.0503,9.6007
16334915,-1.4365,-0.0407,9.5768
16334985,-1.4365,-0.0551,9.5984
16335055,-1.4341,-0.0551,9.5912
16335124,-1.4078,-0.0383,9.6007
16335195,-1.4102,-0.0359,9.7013
16335265,-1.3815,0.0024,9.6989
16335335,-1.3479,0.0287,9.7085
16335404,-1.3336,0.0144,9.7013
16335474,-1.3001,0.0239,9.6750
16335544,-1.2689,0.0431,9.6965
16335614,-1.2737,0.0479,9.6774
16335685,-1.2761,0.0551,9.6822
16335755,-1.2737,0.0718,9.6462
16335825,-1.2665,0.0742,9.6151
16335894,-1.2234,0.0934,9.6319
16335965,-1.1923,0.0814,9.6343
16336035,-1.1732,0.0862,9.5553
16336105,-1.2234,0.0599,9.5289
16336174,-1.2474,0.0263,9.5193
16336245,-1.2474,0.0622,9.5002
16336315,-1.2761,0.0551,9.5217
16336384,-1.2857,0.0599,9.5313
16336455,-1.3431,0.0742,9.5217
16336524,-1.4246,0.0599,9.5026
16336595,-1.4892,0.0527,9.5361
16336665,-1.5562,0.0431,9.5553
16336735,-1.6352,0.0120,9.6055
16336804,-1.7023,-0.0311,9.6319
16336875,-1.7861,-0.0622,9.6199
16336945,-1.8531,-0.1101,9.6151
16337015,-1.8794,-0.1269,9.5816
16337084,-1.9106,-0.1269,9.5720
16337155,-1.9154,-0.1484,9.5984
16337225,-1.8842,-0.1269,9.5648
16337294,-1.8507,-0.1101,9.5744
16337365,-1.8076,-0.1053,9.5385
16337435,-1.7502,-0.0766,9.5313
16337505,-1.7262,-0.0742,9.5720
16337575,-1.7119,-0.0646,9.5624
16337645,-1.7095,-0.0527,9.6127
16337715,-1.7142,-0.0670,9.5984
16337784,-1.7071,-0.0503,9.5912
16337855,-1.7071,-0.0479,9.5600
16337925,-1.7119,-0.0718,9.6127
16337995,-1.6735,-0.0886,9.6055
16338064,-1.6855,-0.0958,9.6103
16338135,-1.6807,-0.1221,9.6438
16338205,-1.6688,-0.1030,9.6151
16338275,-1.6903,-0.0622,9.6415
16338344,-1.6640,-0.0622,9.6295
16338415,-1.6568,-0.0551,9.6438
16338485,-1.6352,-0.0407,9.6127
16338555,-1.6233,-0.0527,9.6127
16338625,-1.6161,-0.0503,9.6199
16338695,-1.5874,-0.0383,9.6031
16338765,-1.5682,-0.0431,9.6343
16338834,-1.5562,-0.0383,9.6103
16338905,-1.5634,-0.0527,9.6367
16338975,-1.5706,-0.0311,9.6079
16339044,-1.5538,-0.0168,9.5648
16339115,-1.5610,-0.0120,9.5648
16339185,-1.5419,0.0096,9.5577
16339255,-1.5227,0.0000,9.5816
16339324,-1.5467,-0.0048,9.5864
16339395,-1.5323,0.0048,9.6175
16339465,-1.5371,0.0072,9.6103
16339535,-1.5323,0.0144,9.6055
16339604,-1.5012,0.0144,9.5960
16339675,-1.4748,0.0287,9.5720
16339745,-1.4174,0.0646,9.5457
16339814,-1.3647,0.0766,9.5457
16339885,-1.3144,0.0982,9.5888
16339955,-1.2570,0.1006,9.6103
16340024,-1.1923,0.0910,9.6438
16340095,-1.1109,0.0599,9.6510
16340165,-1.0439,0.0862,9.6151
16340235,-0.9768,0.1077,9.5816
16340304,-0.9002,0.1341,9.5433
16340375,-0.8452,0.1963,9.5577
16340445,-0.7566,0.1891,9.5600
16340514,-0.6895,0.2011,9.5648
16340584,-0.6273,0.2155,9.5720
16340655,-0.5650,0.2203,9.4906
16340725,-0.5722,0.2418,9.4715
16340794,-0.5387,0.2370,9.4882
16340865,-0.5770,0.2227,9.4523
