time,x,y,z
1961752,-0.7087,2.5666,8.6574
1961802,-0.4405,3.2178,7.8530
1961853,-0.2490,3.8307,8.2552
1961903,0.5746,3.8499,9.1937
1961952,0.3256,3.5243,9.5577
1962002,-0.1915,3.2370,9.2320
1962053,-0.0766,3.0646,9.1363
1962103,0.3256,2.8539,9.1937
1962152,0.7087,2.0494,10.1131
1962202,0.4980,1.6472,10.2089
1962253,-0.0766,1.6281,9.5768
1962302,-0.0383,1.6664,9.6534
1962351,0.1149,1.0151,10.0748
1962401,0.3065,0.9194,10.4004
1962451,0.2682,1.2450,9.9599
1962503,-0.1341,1.7621,9.1937
1962556,-0.0575,1.7430,9.3087
1962601,0.2682,1.4940,10.8984
1962654,0.2490,1.5706,10.7069
1962704,0.0958,2.3942,9.9407
1962753,-0.2107,4.6160,7.1060
1962801,0.3448,4.8076,6.8570
1962853,0.4214,4.4436,8.6191
1962903,0.3831,4.0989,10.2472
1962953,0.1915,4.0606,8.4467
1963003,0.3256,4.2904,7.7572
1963053,0.2298,3.9073,9.0214
1963103,0.1724,2.8730,9.4427
1963153,0.2873,2.2410,9.9216
1963203,0.8428,0.9960,10.6686
1963253,0.9577,0.7853,10.1323
1963303,0.6129,1.1875,9.7875
1963353,0.5746,1.4174,9.6534
1963403,0.6512,1.3599,9.9790
1963453,0.7087,1.5706,9.9982
1963503,0.6512,1.6281,10.0556
1963553,1.1875,1.4940,11.3772
1963602,-0.9385,3.8499,8.3127
1963653,-1.0343,4.6160,6.2249
1963703,0.1724,5.1906,10.0365
1963753,0.3256,4.8650,9.9982
1963803,0.4022,5.0374,7.4508
1963853,0.7470,5.2098,7.5274
1963903,0.7470,4.7309,8.8107
1963953,0.4022,4.5394,8.2552
1964003,-0.0192,3.8116,7.9487
1964053,0.4980,2.1644,10.2855
1964103,1.0343,1.1492,11.3006
1964153,0.2298,0.5363,10.1131
1964203,0.0192,1.1684,9.5002
1964253,0.2873,1.2833,10.2089
1964303,-0.1149,1.3408,9.5768
1964353,-0.0575,1.4557,9.2703
1964403,0.5363,1.4557,11.1857
1964452,0.1341,2.4134,9.8067
1964503,-0.4597,3.1412,8.1211
1964553,-0.4214,3.9073,8.7532
1964601,-0.0958,3.9265,8.9447
1964651,-0.0575,3.9265,9.1363
1964703,0.0192,3.8499,9.1171
1964753,0.6704,3.9265,9.0405
1964802,0.4214,3.6966,8.6191
1964853,0.5938,3.9648,8.8873
1964903,-0.5555,3.3710,8.8490
1964953,-0.8811,3.4860,9.1363
1965003,0.5171,3.1412,9.8258
1965053,1.1684,2.5091,9.8450
1965103,1.0343,2.8730,9.9599
1965153,0.3639,2.7964,9.3853
1965203,1.2258,2.9113,8.9447
1965253,1.6281,3.1412,9.6917
1965303,0.4214,3.1603,9.1937
1965353,-0.0383,2.7007,9.5193
1965403,0.3065,4.7692,8.9639
1965453,0.0383,5.7461,8.3893
1965503,-0.0383,5.3056,7.6806
1965553,0.0958,5.1715,8.6000
1965603,0.0000,5.0182,8.6383
1965653,0.0383,4.9991,8.4851
1965703,-0.5555,4.8459,8.3127
1965752,0.7661,4.0797,9.1171
1965803,1.0918,4.2713,9.1746
1965853,1.5514,2.2218,9.5385
1965903,0.7853,2.4900,9.6726
1965953,0.4788,2.6240,9.6151
1966003,0.5746,2.6624,9.3087
1966053,0.8045,2.4708,9.3661
1966103,0.4405,2.3750,9.6534
1966153,0.5555,2.2601,9.5193
1966203,0.1341,2.5857,10.1131
1966253,-1.8579,6.2058,8.1786
1966303,-1.8004,5.5929,7.3741
1966353,-1.2067,5.0757,8.2935
1966403,-1.0151,4.7501,9.1746
1966453,-1.3408,4.2713,8.9256
1966503,-1.3982,4.7692,8.4467
1966553,-1.5323,4.6926,7.9871
1966603,-0.2682,3.9265,8.8298
1966653,0.3256,3.9648,9.0405
1966703,0.0383,1.5323,9.5385
1966753,-0.9960,1.2450,9.8641
1966802,-0.8619,1.4365,10.1323
1966853,-0.1915,1.9537,9.9216
1966903,-0.0766,2.7390,10.8601
1966953,2.3750,4.0989,9.5768
1967002,1.3024,3.4285,6.2249
1967053,1.7430,3.6775,6.1100
1967103,3.1220,2.5283,9.8258
1967153,1.7238,1.7047,11.0899
1967203,3.1795,3.3519,8.0254
1967253,4.9608,2.9688,8.0828
1967303,5.7078,2.1069,9.3087
1967353,3.7350,2.5666,8.7724
1967403,3.8882,3.0837,9.2895
1967453,3.8499,3.0263,6.0142
1967503,4.1563,2.0111,6.4356
1967553,2.8922,0.4980,11.6837
1967603,1.3216,0.4980,7.6998
1967652,1.6472,0.7853,5.2864
1967703,2.6624,-0.8236,8.9256
1967752,2.2218,1.3791,9.1937
1967803,0.7470,-1.3599,6.1675
1967853,-2.4134,0.4597,13.2351
1967903,0.6129,0.7470,4.5777
1967952,0.2490,0.6895,8.7915
1968003,-0.1915,0.7087,10.7260
1968053,0.0383,0.7087,9.8067
1968103,0.0000,0.6895,9.8450
1968152,0.0383,0.7087,9.7875
1968203,0.0192,0.7087,9.7300
1968252,0.0958,0.7087,10.0173
1968302,0.0766,0.7470,10.1897
1968353,0.0000,0.7087,9.5385
1968403,0.0383,0.7087,9.7492
1968453,0.0192,0.6895,9.7492
1968503,0.0192,0.7087,9.8067
1968553,0.0192,0.6895,9.7683
1968603,0.0575,0.7087,9.7875
1968653,0.2873,0.6895,8.7532
1968703,0.1532,0.6895,9.6343
1968753,0.1149,0.6895,9.5385
1968802,0.0000,0.7087,9.9599
1968853,0.0575,0.7087,9.7300
1968903,0.0383,0.6895,9.7875
1968953,0.0383,0.6895,9.8833
1969003,0.2107,0.8045,9.7300
1969053,-0.1149,0.3831,10.0365
1969103,0.4214,0.6512,10.0173
1969153,-0.9577,0.3639,9.5385
1969203,0.2873,-0.1724,10.0365
1969253,-0.2107,0.9960,10.8601
1969303,1.0726,-0.5938,11.4730
1969353,-0.4214,0.8619,10.9750
1969403,1.2258,1.2258,9.4810
1969453,-0.6512,1.5706,9.0788
1969503,-0.1341,2.2410,7.8530
1969553,-0.5555,2.2984,7.7381
1969603,-0.8619,4.2521,11.2623
1969653,-1.4557,3.8499,9.8258
1969703,-0.3831,3.2753,9.8450
1969753,-3.0837,3.0071,9.2895
1969803,-0.0766,3.1987,9.0980
1969853,-1.6855,3.1220,8.5808
