'time','x','y','z'
768395,0.1532,-0.2107,9.8258
768445,0.1724,-0.1915,9.8258
768493,0.1532,-0.2682,9.7683
768544,0.1341,-0.1532,9.8641
768593,0.1149,-0.2490,9.7300
768644,0.1724,-0.1149,10.0365
768694,0.2107,-0.2298,9.7109
768745,0.0575,-0.2490,9.9024
768795,0.0958,-0.1915,9.8833
768845,0.1915,-0.2298,9.7875
768895,0.1532,-0.2107,9.8258
768945,0.1341,-0.1915,9.8067
768996,0.1341,-0.1915,9.7683
769045,0.1149,-0.2298,9.8258
769095,0.1724,-0.1532,9.8450
769145,0.2107,-0.1724,9.7875
769196,0.1341,-0.2107,9.8258
769245,0.1532,-0.1341,9.7875
769295,0.1341,-0.2298,9.8641
769345,0.1341,-0.1724,9.8258
769396,0.1341,-0.1724,9.8258
769445,0.1532,-0.1915,9.7683
769495,0.1341,-0.1724,9.8641
769545,0.1149,-0.2298,9.7492
769595,0.1532,-0.1532,9.7492
769645,0.1341,-0.2873,9.7492
769695,0.0000,-0.2107,9.8258
769745,0.1341,-0.1915,9.9216
769795,0.1149,-0.2107,9.8067
769845,0.0958,-0.1149,9.8067
769895,0.0958,-0.1532,9.8450
769945,0.0958,-0.1532,9.7875
769996,0.0383,-0.2107,9.8833
770045,0.1532,-0.1149,9.8258
770095,0.1341,-0.1532,9.7683
770145,0.0958,-0.1724,9.7683
770196,0.0766,-0.1341,9.8450
770245,0.0575,-0.1532,9.8258
770295,0.0958,-0.1532,9.7683
770345,0.0766,-0.1724,9.8067
770396,0.0575,-0.1532,9.8833
770445,0.0958,-0.1341,9.8833
770495,0.0575,-0.1915,9.7300
770545,-0.0192,-0.1724,9.8067
770594,0.0383,-0.1341,9.8833
770645,0.0575,-0.1915,9.8258
770694,0.0383,-0.1341,9.8067
770745,0.0192,-0.1532,9.8067
770795,0.0383,-0.1149,9.8450
770845,-0.0575,-0.1532,9.9790
770895,0.0575,-0.1532,9.7683
770945,0.0383,-0.1724,9.7492
770994,0.0575,-0.1724,9.7875
771045,0.0192,-0.1532,9.8450
771094,0.0575,-0.1915,9.7492
771145,-0.0192,-0.1532,9.8450
771196,0.0575,-0.1915,9.7875
771245,0.0958,-0.1532,9.8450
771295,0.0192,-0.0958,9.8258
771345,-0.0383,-0.2298,9.8450
771396,0.0766,-0.0958,9.8450
771444,0.0766,-0.1915,9.7683
771495,0.0766,-0.1341,9.7875
771545,0.0192,-0.1532,9.7875
771594,0.0958,-0.1341,9.7875
771645,0.0383,-0.1532,9.8450
771693,0.0766,-0.1341,9.8641
