time,x,y,z
633375,0.6895,0.4405,9.8258,
633425,0.6895,0.4405,9.8067,
633476,0.6895,0.4405,9.8067,
633525,0.7087,0.4405,9.8067,
633574,0.6895,0.4405,9.8067,
633625,0.6895,0.4405,9.8067,
633675,0.6895,0.4405,9.8067,
633725,0.6895,0.4405,9.7875,
633775,0.6895,0.4405,9.8450,
633825,0.7087,0.4597,9.8067,
633874,0.6895,0.4597,9.8067,
633924,0.6895,0.4405,9.7875,
633974,0.7087,0.4405,9.8067,
634024,0.6895,0.4405,9.7875,
634075,0.7087,0.4405,9.8258,
634125,0.7087,0.4405,9.8067,
634175,0.6895,0.4405,9.8067,
634225,0.7087,0.4405,9.8258,
634275,0.7087,0.4405,9.8067,
634325,0.7087,0.4405,9.8067,
634375,0.6895,0.4405,9.8067,
634425,0.7087,0.4405,9.8258,
634476,0.7087,0.4405,9.8258,
634525,0.7087,0.4405,9.8258,
634575,0.7087,0.4405,9.8067,
634625,0.7087,0.4597,9.8067,
634676,0.7087,0.4405,9.8258,
634725,0.7087,0.4405,9.7875,
634775,0.6895,0.4597,9.8258,
634825,0.6895,0.4405,9.8067,
634876,0.7087,0.4405,9.7875,
634925,0.7087,0.4405,9.8258,
634975,0.6895,0.4405,9.8067,
635024,0.7087,0.4405,9.8067,
635076,0.7087,0.4405,9.8067,
635125,0.6895,0.4405,9.8258,
635175,0.6895,0.4405,9.8067,
635225,0.7087,0.4405,9.8067,
635276,0.6895,0.4214,9.8067,
635325,0.6895,0.4405,9.8067,
635374,0.7087,0.4405,9.8067,
635424,0.7087,0.4405,9.8067,
635474,0.6895,0.4405,9.8067,
635524,0.6895,0.4597,9.8067,
635574,0.7087,0.4405,9.8067,
635625,0.7087,0.4405,9.8067,
635676,0.6895,0.4405,9.8258,
635723,0.7087,0.4405,9.8067,
635775,0.6895,0.4405,9.8067,
635825,0.7087,0.4405,9.8258,
635876,0.6895,0.4405,9.8067,
635925,0.6895,0.4405,9.8067,
635975,0.7087,0.4405,9.8067,
636024,0.7087,0.4405,9.8258,
636076,0.7087,0.4405,9.8067,
636125,0.7087,0.4405,9.8067,
636175,0.6895,0.4405,9.8258,
636225,0.7087,0.4597,9.8067,
636276,0.6895,0.4405,9.8067,
636325,0.7087,0.4405,9.8067,
636375,0.7087,0.4405,9.8067,
636425,0.6895,0.4597,9.8067,
636476,0.7087,0.4405,9.8067,
636525,0.6895,0.4214,9.8067,
636575,0.7087,0.4405,9.8067,
636623,0.7087,0.4597,9.8258,
636675,0.6895,0.4405,9.8067,
636725,0.7087,0.4597,9.8258,
636775,0.7087,0.4405,9.8067,
636825,0.7087,0.4405,9.8067,
636876,0.6895,0.4405,9.8067,
636925,0.6895,0.4405,9.8067,
636975,0.6895,0.4405,9.8067,
637025,0.6895,0.4597,9.8067,
637075,0.6895,0.4405,9.8258,
637125,0.6895,0.4405,9.8067,
637175,0.7087,0.4405,9.8067,
637225,0.7087,0.4597,9.8258,
637274,0.7087,0.4405,9.8067,
637325,0.6895,0.4405,9.8067,
637375,0.6895,0.4405,9.8067,
637425,0.6895,0.4405,9.8258,
637473,0.6895,0.4405,9.8067,
637524,0.6895,0.4405,9.8067,
637575,0.6895,0.4405,9.8258,
637625,0.7087,0.4405,9.8258,
637675,0.6895,0.4405,9.8067,
637725,0.7087,0.4405,9.8067,
637775,0.6895,0.4405,9.8067,
637825,0.6895,0.4405,9.8067,
637875,0.6895,0.4405,9.8067,
637925,0.7087,0.4597,9.7875,
637974,0.6895,0.4405,9.8067,
638024,0.7087,0.4405,9.7875,
638075,0.6895,0.4597,9.8258,
638133,0.7087,0.4597,9.8067,
638184,0.6895,0.4405,9.8067,
638235,0.7087,0.4405,9.8258,
638284,0.7087,0.4405,9.8067,
638335,0.7087,0.4597,9.8067,
638385,0.7087,0.4405,9.8258,
638435,0.6895,0.4405,9.8067,
638484,0.7087,0.4405,9.8067,
638535,0.6895,0.4597,9.8067,
638585,0.6895,0.4597,9.8258,
638635,0.6895,0.4405,9.7875,
638684,0.7087,0.4597,9.8067,
638735,0.7087,0.4405,9.8067,
638785,0.6895,0.4405,9.8067,
638835,0.7087,0.4597,9.8258,
638885,0.7087,0.4405,9.8258,
638935,0.6895,0.4597,9.8067,
638985,0.7087,0.4405,9.8067,
639035,0.7087,0.4405,9.8067,
639085,0.6895,0.4405,9.7875,
639135,0.7087,0.4405,9.8067,
639185,0.7087,0.4405,9.8258,
639234,0.7087,0.4405,9.8067,
639285,0.6895,0.4405,9.8067,
639334,0.7087,0.4405,9.8258,
639385,0.7087,0.4405,9.8067,
