time,x,y,z
16315555,-0.0766,0.5363,9.8258
16315605,-0.0766,0.5171,9.8641
16315655,-0.0766,0.5555,9.8641
16315705,-0.0958,0.5555,9.8450
16315755,-0.0958,0.5555,9.8067
16315805,-0.0766,0.5555,9.8450
16315855,-0.0575,0.5555,9.8641
16315905,-0.0958,0.5555,9.8067
16315955,-0.0958,0.5746,9.8258
16316005,-0.1915,0.5938,9.8258
16316055,-0.2298,0.5171,10.3430
16316105,-0.3639,0.6704,10.0940
16316155,1.3599,-0.1532,8.5617
16316205,0.0575,0.4980,10.4196
16316255,0.0000,0.5938,9.9024
16316305,-0.1149,0.5555,9.9407
16316355,-0.8619,0.8045,10.2089
16316405,0.6704,0.3448,10.0748
16316455,2.1452,-0.8811,9.2895
16316505,-0.0766,0.6129,10.1131
16316555,0.0000,0.4980,10.1323
16316605,-0.0766,0.6704,9.7300
16316655,-0.1149,0.5555,9.7492
16316705,-0.0766,0.5555,9.8450
16316755,-0.0575,0.5171,9.7875
16316805,-0.0766,0.5171,9.8833
16316855,-0.0766,0.5171,9.8450
16316905,-0.0766,0.5171,9.8258
16316955,-0.0958,0.5171,9.8067
16317005,-0.0958,0.5363,9.8258
16317055,-0.0766,0.5171,9.7875
16317105,-0.1149,0.5363,9.8258
16317155,-0.1149,0.5363,9.8067
16317205,-0.1341,0.5363,9.8258
16317255,-0.1149,0.4980,9.8450
16317305,-0.1341,0.5363,9.8067
16317355,-0.0958,0.5363,9.8450
16317405,-0.1149,0.5171,9.8450
16317455,-0.1149,0.5171,9.8067
16317505,-0.0575,0.5171,9.8258
16317555,-0.0766,0.5363,9.8641
16317605,-0.1724,0.5363,9.8450
16317655,-0.5363,0.6129,9.8067
16317705,-0.4405,0.5938,9.8067
16317755,-0.6895,0.6129,9.8258
16317805,-0.4405,0.5938,9.8258
16317855,-0.4214,0.6129,9.8067
16317905,-0.4022,0.5938,9.8067
16317954,-0.3448,0.5938,9.8258
16318004,-0.3831,0.5938,9.7875
16318056,-0.3831,0.5938,9.8258
16318105,-0.4022,0.5938,9.8258
16318156,-0.4022,0.5938,9.8258
16318206,-0.3831,0.5938,9.8258
16318256,-0.4022,0.5938,9.8067
16318305,-0.3831,0.5938,9.8258
16318356,-0.3831,0.5938,9.8067
16318406,-0.4022,0.5938,9.8067
16318456,-0.4022,0.5938,9.8067
16318505,-0.4214,0.5938,9.8067
16318556,-0.4214,0.5938,9.8258
16318605,-0.4214,0.5938,9.8067
16318654,-0.4214,0.6129,9.8258
16318705,-0.4214,0.5938,9.8067
16318756,-0.4405,0.5938,9.8258
16318806,-0.4597,0.5938,9.8258
16318856,-0.4405,0.5938,9.8258
16318905,-0.4405,0.5938,9.8258
16318956,-0.4405,0.5938,9.8258
16319006,-0.4405,0.5938,9.8258
16319056,-0.4405,0.5938,9.8258
16319105,-0.4214,0.5938,9.8067
16319156,-0.4405,0.5938,9.8258
16319206,-0.4405,0.5746,9.7875
16319256,-0.4405,0.5938,9.8258
16319305,-0.4405,0.5938,9.8258
16319356,-0.4597,0.5938,9.8258
16319406,-0.4597,0.6129,9.8258
16319456,-0.4788,0.5938,9.8258
16319505,-0.4597,0.5938,9.8067
16319556,-0.4788,0.6129,9.8067
16319606,-0.4788,0.6129,9.8258
16319656,-0.4788,0.5938,9.8258
16319705,-0.4788,0.5938,9.8258
16319756,-0.4788,0.6129,9.8067
16319806,-0.4788,0.6129,9.8067
16320206,-0.4597,0.5938,9.8258
16321206,-0.4022,0.6129,9.8067
16322206,-0.3639,0.5938,9.8067
16323206,-0.3639,0.6129,9.8067
16324206,-0.3639,0.6129,9.8067
16325207,-0.4022,0.6129,9.8067
16326206,-0.3831,0.6129,9.8258
16327206,-0.3639,0.6129,9.8067
16328206,-0.3639,0.6129,9.8067
16329205,-0.3639,0.6129,9.8258
16330205,-0.3831,0.6129,9.8258
16331205,-0.3831,0.6129,9.8258
16332206,-0.4022,0.6129,9.8258
16333206,-0.4022,0.6129,9.8258
16334206,-0.3831,0.6129,9.8258
16335206,-0.3639,0.6129,9.8067
16336206,-0.4214,0.6129,9.8067
16337206,-0.5171,0.6129,9.8067
16338206,-0.3831,0.6129,9.8067
16339206,-0.3831,0.6129,9.8258
16340155,-0.4022,0.6129,9.8067
16341206,-0.5171,0.6129,9.8067
16342206,-0.4405,0.6129,9.8067
16342555,-0.4022,0.6129,9.8067
16527962,-7.1635,0.4980,-1.9728
16528962,0.2682,9.7875,-0.9002
16529963,0.1341,9.7875,-3.9456
16530964,0.5555,9.3853,-3.3327
16531963,0.4788,9.4619,-3.4285
16532963,0.5938,9.5385,-3.3327
16533962,0.7278,9.3278,-3.7541
16534489,0.5363,9.4236,-3.8882
16534523,0.5555,9.3087,-3.3327
16534563,0.7278,9.2895,-3.8116
16534612,0.5171,9.4236,-3.3902
16534663,0.7087,9.3661,-3.9456
16534712,0.5171,9.3661,-3.4668
16534763,0.5363,9.3853,-3.7733
16534812,0.3639,9.3853,-3.4668
16534862,0.6129,9.3278,-3.8499
16534912,0.6512,9.2895,-3.7541
16534962,0.6704,9.2703,-3.7733
16535013,0.5363,9.2320,-3.6392
16535064,0.4788,9.3853,-3.8690
16535114,0.4214,9.3661,-3.7158
16535164,0.3065,9.3853,-3.6200
16535214,0.4980,9.3278,-3.9265
16535264,0.2490,9.3661,-3.6200
16535312,0.1532,9.2895,-4.9416
16535362,0.5746,9.2512,-3.6583
